SAMPLE_ID,Cisplatin_1005,Docetaxel_1007,Paclitaxel_1080,Gemcitabine_1190,Tamoxifen_1199,Lapatinib_1558,Vinblastine_1004,OSI-027_1594,Daporinad_1248,Venetoclax_1909,ABT737_1910,AZD5991_1720,Fulvestrant_1816
MB-0143,0.16656893,-7.4621625,-4.15455,-12.59589,3.8523383,5.1087127,-12.729286,-4.737828,-9.092707,-2.083258,-7.40267,-4.131376,4.277971
MB-0513,3.4696107,-6.2627378,-2.9632375,-2.4165921,5.067484,3.725438,-9.826344,-8.773089,-6.0564847,1.1246517,-3.9146545,-5.031216,4.0544276
MB-0541,1.228391,-6.0855002,-2.4191937,-6.9974375,4.457228,4.8427887,-10.328667,-0.6640377,-8.7304735,-1.6003762,-3.967146,-2.1929278,4.7179956
MB-0653,1.3303283,-5.85062,-2.6168554,-8.149064,4.732645,4.994906,-10.727624,-0.42691898,-12.173477,-2.1140673,-4.544519,-0.111603975,5.1930447
MB-0455,1.9109926,-5.3377976,-0.6594169,-5.368576,5.959711,9.161824,-8.992129,8.809639,-12.498318,-2.6733437,-7.893407,-0.7767954,5.4139786
MB-0540,-0.3934512,-7.1026907,-3.4028974,-9.009705,3.1003597,7.0349417,-13.933218,3.2889023,-7.6321087,-5.2416515,-6.8743596,-0.9342437,4.166322
MB-0384,0.36436605,-7.6974754,-4.6856437,-6.830742,2.7428894,3.695223,-12.954361,-3.2896056,-9.44699,-2.4688866,-5.1316223,-3.8549747,3.9342368
MB-0637,-0.19996071,-6.9640236,-2.4718428,-6.9187107,2.2472339,4.7947354,-12.36713,3.5328445,-8.433542,-3.35141,-3.7657797,-3.014276,4.4186287
MB-0157,1.2652465,-7.303251,-3.4018283,-7.6844287,3.3096676,4.2231636,-12.296944,-5.5632696,-3.335252,-2.073188,-3.4362245,-6.069024,4.4533405
MB-0443,0.28056705,-7.86126,-5.0381866,-6.962672,2.7116492,5.290227,-13.645575,-1.4904103,-6.9390373,-3.7052808,-5.5660152,-2.789411,4.1126556
MB-0584,-0.5374038,-7.1493926,-4.144243,-8.5774,2.0595317,4.9200516,-15.044533,-2.6614308,-6.27885,-4.69749,-7.131653,-5.628992,3.4181874
MB-0292,1.226331,-7.894429,-3.3644853,-9.011031,4.694341,7.6449127,-11.271865,2.0287356,-9.241974,-2.3762565,-6.875351,-3.1146402,4.905748
MB-0322,-0.08767593,-7.815989,-3.9402323,-5.7573233,2.2109418,3.146698,-12.190396,-6.2086854,-6.8783975,-2.5766087,-4.313971,-2.8451407,3.2186196
MB-0501,2.4128091,-5.7323217,-2.0404847,-1.3136358,2.7750435,4.2588067,-10.549241,-11.740129,-3.455091,-1.4725459,-4.76892,-4.82706,3.9363234
MB-0401,1.6895337,-6.4341407,-2.1783202,-7.41897,4.6833606,6.051329,-10.985079,-1.3021235,-7.9998426,-1.2988758,-2.3579342,-3.0704908,5.1291075
MB-0140,2.0839071,-6.342807,-2.7400079,-4.016526,3.7347288,5.3145056,-11.316288,-5.940738,-7.954376,-1.3641126,-4.9388947,-3.5712197,4.7310166
MB-0606,2.077016,-6.6008315,-2.8384826,-5.061265,3.26192,4.6023073,-11.573413,-10.691636,-3.5266583,-0.26980305,-5.281279,-6.2937636,4.198092
MB-0666,0.04675907,-7.816645,-4.159852,-10.656799,3.8293023,3.522034,-11.378777,-9.127392,-8.633549,-0.45584285,-3.642789,-3.7311282,3.3699133
MB-0598,-0.83040047,-8.557189,-5.158133,-10.872595,2.335914,2.9979725,-14.061202,-2.5826714,-6.514082,-2.9899158,-3.959015,-3.9611259,3.324194
MB-0453,2.598258,-5.8031964,-1.9291515,-4.0182657,3.5287669,4.8060555,-9.136921,-3.97196,-6.5667515,-1.2688296,-4.0609202,-0.66490006,4.919883
MB-0138,0.6736814,-8.126574,-6.2487383,-8.992939,2.997576,2.624216,-13.78646,-10.026014,-3.9805655,-1.15852,-4.34945,-5.83983,3.2143133
MB-0579,0.5833627,-7.5847883,-4.080056,-7.196579,3.1780474,2.4288728,-11.967578,-7.8043723,-4.5766845,-1.5734391,-3.460522,-4.0621314,3.4909492
MB-0405,2.5821986,-5.571845,-1.414619,-4.034389,4.36438,3.6879714,-8.971975,-5.374957,-7.3809805,-0.4017502,-3.2368217,-1.5288155,4.477778
MB-0471,2.9588537,-4.363832,0.14523172,-1.7733755,5.833375,4.615268,-7.799346,-2.2988765,-7.482693,0.46979713,-4.763663,-0.97839594,4.8821945
MB-0347,0.5292778,-6.082436,-1.3152356,-8.598657,5.0721273,7.701168,-9.520555,9.525954,-11.71259,-4.1993113,-5.747923,1.1370549,5.5103207
MB-0619,2.2500896,-6.804497,-2.335836,-6.9951496,4.6445723,5.157574,-10.3773,-6.021883,-7.0958295,-0.7433381,-5.192106,-3.878337,4.762608
MB-0171,1.0062903,-7.8792696,-3.9369214,-7.8939977,3.358316,7.036806,-12.681241,-3.570261,-5.924921,-3.3903396,-6.185793,-4.988454,5.147539
MB-0310,-0.045266986,-7.711306,-4.681779,-9.520956,2.6537728,4.958681,-14.083763,-2.8193529,-6.0445395,-3.7070458,-6.061752,-4.4558916,3.6839273
MB-0621,1.0273997,-8.09114,-4.6079073,-7.865168,3.259967,7.5642586,-13.244483,-0.4839096,-8.2009735,-3.2755885,-8.371399,-4.3967667,4.71945
MB-0614,0.6713748,-6.9552507,-2.313634,-8.654336,2.900813,6.6478505,-13.564816,-4.1055546,-6.6486473,-3.984282,-6.5171986,-5.254237,4.2309623
MB-0372,2.020485,-6.737743,-2.6223376,-6.9489756,5.169194,7.42098,-12.937239,-6.244727,-8.217878,-0.91834354,-5.313264,-4.4363604,5.312873
MB-0374,0.12030625,-7.3104644,-2.847352,-8.8203335,3.444388,3.7668054,-13.343361,-7.39775,-4.478974,-1.4612418,-3.8782063,-4.6839633,4.611137
MB-0382,-0.52745736,-8.959095,-6.0247273,-12.515284,3.7172697,4.937915,-14.193454,-5.8455715,-8.957907,-2.3192577,-6.873477,-6.199131,3.4937706
MB-0327,0.075850904,-7.7211394,-4.091025,-7.3070946,2.3722844,5.8550787,-12.757751,-1.9051294,-9.142725,-4.130293,-7.5775495,-4.9199777,3.6149764
MB-0066,0.835747,-8.29578,-4.073843,-4.8034678,2.48594,5.3980093,-12.819844,0.041256905,-7.1776037,-3.4133773,-9.0994,-5.720706,2.8829575
